"id","label","x","y"
50518,"Titius (river)",43.72,15.86
50418,"Vienna",45.525,4.879
50516,"Messana",38.1923,15.5566
50588,"Chios",38.37,26.14
50454,"Seleukeia Pieria",0,0
50453,"Salamis",0,0
50455,"Syracusae",0,0
50507,"Selinus",37.5828,12.8251
50257,"Mogontiacum",50,8.271
50437,"Perge",0,0
50719,"Tripolis",,
50445,"Augustoritum",0,0
50394,"Tubusuctu",36.669,4.828
50756,"Palma",,
50284,"Omboi",24.467,32.95
50410,"Venusia",40.963,15.815
50594,"Sestus",40.2284,26.4172
50436,"Cibyra",0,0
50450,"Dianium",0,0
50448,"Ebusus",0,0
50439,"Myra",0,0
50451,"Olbia",0,0
50438,"Phaselis",0,0
50440,"Patara",0,0
50441,"Xanthos",0,0
50472,"Ulpiana",0,0
50486,"Caralis",39.2149,9.10952
50482,"Igilgili",36.8216,5.76666
50467,"Naupactus",0,0
50491,"Thaenae",34.67,10.7
50505,"Lilybaeum",37.7984,12.4375
50469,"Lissus",0,0
50512,"Melita",35.88,14.4
50539,"Leucas",38.83,20.71
50523,"Lokroi Epizephyrioi",38.24,16.26
50232,"Lindum",53.25,-0.559
50463,"Iuliobriga",0,0
50547,"Tainaron Pr.",36.39,22.48
50773,"x",,
50564,"Thasos",40.78,24.71
50592,"Mytilene",39.21,26.31
50628,"Lapethos",35.27,33.86
50597,"Samos",37.69,26.94
50620,"Tyras",46.2009,30.3505
50641,"Theodosia",45.0461,35.3788
50650,"Tanais",47.2678,39.258
50186,"Glevum",51.875,-2.264
50725,"Neapolis (Thrace)",,
50379,"Tarraco",41.12,1.251
50682,"Ammon",0,0
50660,"Apollonopolis Magna",0,0
50661,"Krokodilopolis",0,0
50674,"Latopolis",0,0
50690,"Oasis Parva",0,0
50700,"Qasr Farafra",0,0
50449,"Thabraca",0,0
50432,"Boubastis",0,0
50462,"Iuliobona",0,0
50442,"Amaseia",0,0
50446,"Amastris",0,0
50458,"Amisus",0,0
50021,"Ammaedara",35.567,8.467
50447,"Attalea",0,0
50493,"Mercurii Pr.",37.0616,11.0133
50474,"Portus Magnus",35.8079,-0.266018
50489,"Ilva",42.7434,10.2397
50456,"Portus Pachyni",0,0
50483,"Metagonium Pr.",37.0891,6.46696
50476,"Colubraria",39.8982,0.685189
50485,"Galata",37.5271,8.92862
50492,"Meninge",33.68,10.92
50487,"Gallicum Fretum",41.3874,9.1594
50572,"Rheneia",37.42,25.21
50070,"Berenice",23.91,35.474
50457,"Kriou Metopon",0,0
50515,"Cephalae Pr.",32.37,15.21
50502,"Atria",45.05,12.07
50495,"Clipea",36.84,11.11
50468,"Confluentes",0,0
50499,"Cossyra",36.83,11.94
50498,"Caput Vada",35.23,11.16
50504,"Brundulum",45.19,12.31
50513,"Camarina",36.85,14.45
50187,"Hadrianoupolis",41.684,26.567
50501,"Maritima",37.97,12.06
